id,split,status,reason
pair_0001,train,drop,"ribbon and charm details still make this too structure-sensitive for a first narrow LoRA"
pair_0002,train,drop,"extreme length and dense 3D art remain far outside a conservative retouch subset"
pair_0003,train,keep,"promoted for round-two expansion: simple french base is usable despite some lighting shift"
pair_0004,train,drop,"themed 3D art is too content-heavy for strict retouch training"
pair_0005,train,keep,"simple glossy solid set with strong design consistency and clear cleanup value"
pair_0006,train,drop,"ornaments and reflective black details are still too redraw-prone for the strict set"
pair_0007,train,drop,"long reflective chrome surfaces make preservation less stable than desired"
pair_0008,train,drop,"large bow ornament adds unnecessary structural complexity to the target"
pair_0009,val,keep,"simple nude glossy set with minimal decoration and strong validation value"
pair_0010,train,drop,"metallic mirrored tips remain too reflective for a first small retouch LoRA"
pair_0011,train,drop,"large crystal and sculpted details are too content-specific"
pair_0012,train,drop,"raised metallic art is far too structural for the strict subset"
pair_0013,train,drop,"ornament-heavy set fits redesign or style learning more than retouch"
pair_0014,train,drop,"glitter and reflective accents add too much instability for the first-pass shortlist"
pair_0015,train,keep,"soft nude glitter style is still restrained enough and preserves the same design"
pair_0016,train,drop,"shell and charm embellishments add too much local structure"
pair_0017,train,drop,"long square nails plus gem details are still too decorative for the strict subset"
pair_0018,train,keep,"clean nude almond set with low ornament load and stable framing"
pair_0019,train,keep,"promoted for round-two expansion: simple chrome look with manageable reflection risk"
pair_0020,train,drop,"cartoon-style art remains too content-heavy for retouch-only learning"
pair_0021,train,drop,"complex motifs and high-contrast themed art are too redesign-prone"
pair_0022,train,keep,"simple french structure and close framing make this a strong core sample"
pair_0023,train,drop,"charms and heavy accent nails create too much local structure"
pair_0024,val,maybe,"small gems are manageable, but the long pointed shape is still less stable than keep"
pair_0025,train,drop,"glitter flowers make it more decorative than needed for a strict starter set"
pair_0026,train,keep,"promoted for round-two expansion: mostly simple nude base with only one moderate gem accent"
pair_0027,train,drop,"backlighting and limited nail detail make the supervision weaker than desired"
pair_0028,train,keep,"clean french square structure with minimal decoration and strong consistency"
pair_0029,train,drop,"small 3D bow accents are still more structural than a strict keep candidate"
pair_0030,train,drop,"crystal-heavy accents keep this too close to redesign territory"
pair_0031,val,drop,"mixed crystal art and long extensions are too content-heavy for strict validation"
pair_0032,train,keep,"simple glossy color-block set with low complexity and tight framing"
pair_0033,train,drop,"large white 3D floral structure is too structural for retouch preservation"
pair_0034,train,drop,"dense sculpted floral art is too content-specific for the narrow subset"
pair_0035,train,keep,"classic french set with minimal design changes and reliable cleanup signal"
pair_0036,train,drop,"bow details still add unnecessary structure to the target"
pair_0037,train,drop,"very long colored tips remain more repaint-prone than ideal"
pair_0038,train,keep,"tight close-up of a simple red set with strong polish-edge cleanup value"
pair_0039,train,keep,"promoted for round-two expansion: close-up framing is strong and raised detail load is still limited"
pair_0040,val,keep,"simple nude set with stable design and clean validation signal"
pair_0041,train,drop,"exposure and skin-tone shift are stronger than desired for the strict subset"
pair_0042,train,drop,"brightness change is too strong for clean retouch supervision"
pair_0043,train,keep,"soft white ombre set with minimal structure and consistent framing"
pair_0044,train,keep,"promoted for round-two expansion: small raised flower accents are acceptable for a broader training set"
pair_0045,train,drop,"multicolor extra-long set with large gems is far too redesign-prone"
pair_0046,train,drop,"reflective chrome finish is still too unstable for the first compact LoRA"
pair_0047,val,keep,"simple pink glitter close-up with low structure complexity and useful validation signal"
pair_0048,train,keep,"promoted for round-two expansion: simple french close-up still offers useful cleanup supervision"
pair_0049,train,drop,"transparent black-dot design with hanging crystal accents is too content-specific"
pair_0050,val,keep,"simple nude gradient set with stable framing and low ornament load"
pair_0051,val,maybe,"small gem accents are limited, but still less stable than the keep validation set"
