id,split,status,reason
pair_0001,train,maybe,"same design family, but ribbon and charm details add some preservation risk"
pair_0002,train,drop,"very long stiletto set with dense 3D structure; too redesign-prone for retouch training"
pair_0003,train,maybe,"same french set overall, but lighting and tonality shift are a bit stronger than ideal"
pair_0004,train,drop,"heavy 3D themed art and extreme length make content-preserving cleanup unreliable"
pair_0005,train,keep,"simple glossy solid set with stable framing; strong cleanup-only target"
pair_0006,train,maybe,"same composition, but black chrome and large ornaments may encourage repainting"
pair_0007,train,maybe,"same set, yet long reflective chrome surfaces increase texture-drift risk"
pair_0008,train,maybe,"overall design is preserved, but large bow ornament adds local structure complexity"
pair_0009,val,keep,"simple nude glossy set with minimal decoration; strong validation retouch example"
pair_0010,train,maybe,"same look overall, but metallic reflective tips can destabilize detail preservation"
pair_0011,train,drop,"large crystal and sculpted details make this closer to redesign than cleanup"
pair_0012,train,drop,"dense raised metallic art across nails is too structural for first-pass retouch training"
pair_0013,train,drop,"ornament-heavy mixed-art set; better fit for style transfer than subtle retouch"
pair_0014,train,maybe,"same manicure, but glitter and reflective accents still add some redraw pressure"
pair_0015,train,keep,"soft nude glitter style with manageable detail density and consistent framing"
pair_0016,train,maybe,"same set, but shell and charm embellishments add moderate structure complexity"
pair_0017,train,maybe,"design is preserved, though long square nails plus gem details are not ideal for a keep set"
pair_0018,train,keep,"clean nude almond set with low ornament load and consistent angle"
pair_0019,train,keep,"simple chrome purple look with stable geometry and no major structural art"
pair_0020,train,drop,"dense cartoon-style art across nails is too content-heavy for retouch-only learning"
pair_0021,train,drop,"black-and-white stiletto set with strong art contrast and complex motifs is too redesign-prone"
pair_0022,train,keep,"simple french structure and close framing make this a strong retouch candidate"
pair_0023,train,drop,"mixed charms and heavy accent nails create too much local structure to preserve"
pair_0024,val,maybe,"same set and pose, but long pointed shape with small gems is slightly more fragile than keep"
pair_0025,train,maybe,"same design family, but glitter and decorative flowers increase repaint risk"
pair_0026,train,maybe,"mostly simple nude set, though the large gem accent still adds some instability"
pair_0027,train,maybe,"same silhouette, but strong backlighting and limited nail detail make supervision weaker"
pair_0028,train,keep,"clean french square structure with minimal decoration; very retouch-friendly"
pair_0029,train,maybe,"small 3D bow accents add moderate structure even though the base design is simple"
pair_0030,train,maybe,"same white glitter set overall, but crystal-heavy accents are still redraw-prone"
pair_0031,val,drop,"mixed crystal art and long square extensions are too content-heavy for validation cleanup"
pair_0032,train,keep,"simple glossy color-block set with low complexity and consistent close framing"
pair_0033,train,drop,"large white 3D floral structure makes detail-preserving retouch too hard"
pair_0034,train,drop,"dense sculpted floral art across long nails is too structural for a retouch subset"
pair_0035,train,keep,"classic french set with minimal design changes; strong cleanup-focused example"
pair_0036,train,maybe,"same clear pink set, but bow details create moderate local-structure risk"
pair_0037,train,maybe,"same manicure, yet very long colored tips still push the model toward repainting"
pair_0038,train,keep,"tight close-up of a simple red set; strong candidate for learning polish-edge cleanup"
pair_0039,train,maybe,"same close-up, but water-drop style raised details make this less conservative than keep"
pair_0040,val,keep,"simple nude set with stable design and useful validation signal for subtle cleanup"
pair_0041,train,maybe,"base design is simple, but skin tone and exposure shift more than ideal for keep"
pair_0042,train,maybe,"same long white set overall, but strong brightness change weakens pure retouch supervision"
pair_0043,train,keep,"soft white ombre set with minimal structure and very consistent framing"
pair_0044,train,maybe,"small raised flower accents are manageable, but still more decorative than keep"
pair_0045,train,drop,"multicolor extra-long set with large gems is too redesign-prone for first retouch training"
pair_0046,train,maybe,"same blue chrome look, but reflective metallic surfaces may encourage repainting"
pair_0047,val,keep,"simple pink glitter close-up with light cleanup target and low structure complexity"
